name,color
Самовисування,#90D9D9
Слуга народу,#36AD47
Батьківщина,#D63D62
За Майбутнє,#8254C7
ОПЗЖ,#1A4694
Європейська солідарність,#F7D100
Наш край,#016DB5
Свобода,#F8E0A3
Українська стратегія Гройсмана,#18A0DB
Сила і Честь,#EB9C83
Пропозиція,#A194B6
Радикальна Партія Олега Ляшка,#CE362D
Довіра,#5FADD8
Рідний дім,#E79E32
Рідне Закарпаття,#017146
Черкащани,#33B9F1
За конкретні справи,#5D8E8B
Голос,#E45C00
Блок Кернеса - Успішний Харків,#5F926C
Аграрна партія,#5DB57B
Блок Світличної разом,#BA9C21
Українська галицька партія,#CAEB85
Довіряй ділам,#8DBB2C
Самопоміч,#7FCD00
Платформа громад,#C29B60
Рідне місто,#82738B
Народний Рух України,#CD7B00
УДАР,#B75B5B
Опозиційний блок,#25498E
Команда Андрія Балоги,#D7C26D
Нам тут жити,#225EAC
Блок Вілкула,#8CACCA
Громадянська позиція,#7B4848
Порядок ,#4E3364
Сила Людей,#A2C7C9
Партія угорців України,#5DB885
Народний контроль,#B4B4B4
Перемога Пальчевського,#FFB155
Єдина Альтернатива,#F28959
Нові обличчя,#A01A4A
Команда Симчишина,#3C5C72
Єднання,#A7DECA
Партія Шарія,#B4B4B4
Команда Сергія Рудика,#C67290
Європейська партія України,#AEA657
Нова політика,#B4B4B4
Блок Вадима Бойченка,#995D03
Команда Сергія Мінька,#A58EA2
Громадська сила,#FCBEBE
Варта,#B4B4B4
Народна партія,#B4B4B4
Партія місцевого самоврядування,#B4B4B4
Зелених України,#B4B4B4
Бджола,#C9A686
Дем. партія угорців України,#B4B4B4
Україна славетна,#B4B4B4
Основа,#B4B4B4
Національний корпус,#B4B4B4
Рідна країна,#B4B4B4
Добрий самарянин,#DC9E91
Березанська громада,#3F9090
Єдність Олександра Омельченка,#B4B4B4
Блок Володимира Сальдо,#B4B4B4
Ліва опозиція,#B4B4B4
Конгрес Українських Націоналістів,#B4B4B4
Українська партія,#B2C6EC
Наш Краматорськ,#B4B4B4
Республіканська платформа,#B4B4B4
Разом сила,#B4B4B4
Партія миру та розвитку,#B4B4B4
Воля,#BF9269
Народна Партія,#B4B4B4
Біла Церква разом,#B4B4B4
Акцент,#B4B4B4
Розвиток громад,#B4B4B4
Національний егоїзм,#DCD69F
"Партія ""Країна""",#B4B4B4
Самоврядна українська держава,#9EC9B9
Пенсіонерів України,#B4B4B4
Справедливість,#B4B4B4
Рівне разом,#B4B4B4
Команда Михайлішина,#B4B4B4
Партія Вінничан,#B4B4B4
Хвиля,#B4B4B4
"Громадянський рух ""Свідомі""",#B4B4B4
Партія ветеранів Афганістану,#B4B4B4
Партія простих людей,#B4B4B4
"Рух Валентина Наливайчеко ""Справедливість""",#B4B4B4
Українська православна асамблея,#B4B4B4
Наші,#B4B4B4
Молодіжна партія,#B4B4B4
Перспектива міста,#B4B4B4
Порядок. Відповідальність. Справедливість,#B4B4B4
Партія твого міста,#B4B4B4
Розумна сила,#B4B4B4
Захисників Вітчизни,#B4B4B4
Українська республіканська партія,#B4B4B4
Громадський контроль,#B4B4B4
Нова країна,#B4B4B4
Морська партія Ківалова,#B4B4B4
Народовладдя,#B4B4B4
Партія Чернівчан,#B4B4B4
Ідея нації,#B4B4B4
Патріот,#B4B4B4
Єдина громада,#B4B4B4
Християнсько-Демократичний Союз,#B4B4B4
Солідарність жінок України,#B4B4B4
Соціал-демократична партія,#B4B4B4
Правий сектор,#B4B4B4
Громада і закон,#B4B4B4
Республіканська партія  ,#B4B4B4
За Права Людини,#B4B4B4
